10,Opp,Player,UBS,LUM,PDF,GE,Top,TopB,BP,TP
,137.7,116.3,0,0,6,0,30.7,15.7,30.8,147.1
,116.8,110.8,22.7,1,4,0,28.3,25.7,31.9,142.7
,87.1,86.2,4.8,3,4,0,15.7,17.1,41.9,128.1
JN,80.5,111.3,10.2,3,5,1,28.4,16.5,48.6,159.9
,87.1,105.1,10.4,2,5,0,23.8,14.9,44,149.1
,87.3,84.7,17.8,3,2,0,26.2,17.4,51.2,135.9
,93.5,58.5,12.2,2,2,1,15,11.3,28.4,86.9
,118.5,58.8,37.2,4,2,0,16,21,53.6,112.4
,63.7,45.8,42.2,4,1,1,14.4,17.1,51.8,97.6
,66.5,65.8,10.2,3,2,0,14.1,12.8,29,94.8
,91.3,85.6,24.5,2,4,3,32.9,15.5,19,104.6
,70.1,93.3,0,0,4,0,22.9,3.1,3.3,96.6
,120.1,93.1,0,0,5,0,19,3.1,5.5,98.6
MK,74.4,113.6,14.6,2,6,0,28.4,12.6,43.1,156.7
,104.8,113.5,13.9,1,5,0,21.6,21.6,57.8,171.3
,96.2,46.8,27.6,3,1,2,20,17.8,71.2,118
,114.5,70.7,35.6,2,3,2,32.1,22.5,44.3,115
,82,123.5,1,1,4,0,31,15.7,30.5,154
,98.9,104.9,20.4,2,5,0,26.1,15.7,43.5,148.4
,118.2,110.9,11.5,1,5,0,28.6,23,48,158.9
,72,107.5,14.5,2,5,1,35.3,12,14.9,122.4
,89.5,97.1,24.7,3,3,0,21.8,22.2,63.1,160.2
,93.1,120.1,0,0,4,0,34,11.3,11.3,131.4
AS,111.3,80.5,33,4,3,0,20,19.4,61.9,142.4
,79.4,76.1,30.6,3,4,0,20.2,19,46.3,122.4
,54.1,63.2,26.6,3,3,0,19.1,17.7,56.2,119.4
,58.8,116.9,14.4,3,5,0,23.4,22.7,43.9,160.8
,94.8,73.4,10.2,2,3,0,21.7,13.6,27.5,100.9
,103.4,99.4,0,0,6,0,19,16,24.5,123.9
,105,65.6,9.5,1,3,0,15.7,11.2,10.9,76.5
,107.5,72,46,3,2,1,14.2,44.8,69.7,141.7
,64.4,100,28,2,5,0,35.7,18,68.3,168.3
,73.4,98.1,22.2,3,5,0,27,15.6,48.9,147
WD,103.5,58.7,15.8,3,3,2,15.5,18.5,40.9,99.6
,82.6,97.6,28.6,3,4,1,27.6,17.9,50.3,147.9
,46.8,96.2,9.8,3,5,0,19.5,22,46.4,142.6
,86.5,70.2,0,0,4,0,20.2,1.7,1.7,71.9
,73.4,94.8,23.8,3,5,1,18,34.2,46.6,141.4
,110.3,93,22.9,2,5,0,21.7,15.8,35.6,128.6
,65.8,66.5,29.2,4,3,1,21,37.1,57.7,124.2
,106,110.7,1.6,1,6,0,25,13.5,52.4,163.1
,83.2,87.9,1.4,1,4,0,19,10.3,15.9,103.8
,86.2,87.1,19.6,3,4,1,23.2,19.6,48.8,135.9
NG,104.3,60.7,29.7,3,3,1,12.1,18.1,48.4,109.1
,67.2,83.9,32.7,3,5,0,19.1,17.7,57.1,141
,113.7,84.9,7.8,2,6,0,17.2,13.1,25.6,110.5
,70.2,86.5,23.6,3,4,0,28.8,20.6,40.6,127.1
,90.6,91.2,3.5,1,4,0,21,4.2,7.5,98.7
,109.9,76.5,17.9,1,4,0,17,34.1,34.1,110.6
,110.9,118.2,0.1,1,7,0,24.2,8.4,25.3,143.5
,124,89.9,16.9,1,3,1,23.7,16.9,36.3,126.2
,100,64.4,13.1,2,3,1,15,8,14.6,79
,126.8,93.1,13.2,2,4,0,27.8,9.3,15.6,108.7
PC,113.6,74.4,13.5,2,3,1,17.1,15.5,45.2,119.6
,83.9,67.2,18,3,2,0,18.5,17.4,44.5,111.7
,63.2,54.1,7.6,2,2,0,19.2,8.4,20.9,75
,70.7,105.3,23.5,2,6,0,23.3,27,42.7,148
,58.8,118.5,24.1,3,5,0,25.2,23.2,64.3,182.8
,120.7,81.4,35.4,3,3,0,29.4,32.2,72.5,153.9
,128,96.8,2.4,2,5,0,21.4,14.3,28.6,125.4
,116.3,137.7,0,0,7,0,23.5,7.2,17.8,155.5
,87.9,83.2,7.7,2,5,0,23,5.3,14.3,97.5
,75.2,106.1,13.2,2,7,0,18.5,20.3,38.1,144.2
RG,118.7,95.4,26.7,3,4,0,18.3,18,73.6,169
,97.6,82.6,32.9,4,3,0,23,25.5,55.5,138.1
,90.6,87.7,21.8,3,4,0,17.1,17.5,50.1,137.8
,135.5,121,0,0,7,0,27.5,11,41.4,162.4
,123.5,82,27.2,3,3,0,21.8,20.7,53.3,135.3
,76.5,109.9,36.7,2,5,1,27.7,28.3,71.6,181.5
,65.6,105,24.2,3,5,0,22.9,18.5,63.6,168.6
,89.6,130.3,10.6,3,5,0,24.8,21.7,59.1,189.4
,93.3,70.1,10.9,2,3,0,19.8,12.3,14.9,85
,117.1,94.9,3.9,2,5,0,19,8.9,16.5,111.4
EF,91.2,75.4,20.7,4,3,0,24.4,15.1,43.4,118.8
,105.1,87.1,20.1,4,5,1,26.9,16.3,50.5,137.6
,123,93.2,26.5,4,3,0,24.8,16.7,62.3,155.5
,105.3,70.7,18.1,3,2,1,22.8,12.1,31.4,102.1
,99.6,76.6,41,4,3,0,18,26,59.1,135.7
,93,110.3,16.7,3,5,0,30.7,11.7,45.1,155.4
,94.4,80.5,30.9,5,4,0,22.4,13.9,71.6,152.1
,130.3,89.6,3.5,2,3,0,34.2,8.5,16.3,105.9
,97.1,89.5,23.1,3,3,1,27.7,13.7,33,122.5
,93.1,126.8,7.3,2,5,0,40.3,10.1,19,145.8
